"","ca","dm","ff","uk","jp"
"124",1.016,2.3953,4.987,0.594707,295.6
"125",1.0148,2.3686,4.959,0.594318,293.9
"126",1.0132,2.3621,4.9305,0.588062,292
"127",1.0017,2.3475,4.97175,0.584112,292
"128",1.0046,2.3741,4.98588,0.586235,292.3
"129",1.0115,2.4088,4.98075,0.581971,289.9
"130",1.0164,2.4322,4.98225,0.581546,288.5
"131",1.023,2.4215,4.97075,0.582581,288.1
"132",1.0222,2.4078,4.9715,0.582615,287
"133",1.0263,2.4,4.98675,0.58596,284.7
"134",1.0326,2.3982,4.9755,0.585138,283.3
"135",1.0429,2.3921,4.985,0.583942,282.4
"136",1.0483,2.389,4.987,0.581869,282.1
"137",1.0519,2.3958,4.977,0.581598,281.9
"138",1.0525,2.3882,4.96875,0.582377,278.8
"139",1.0544,2.3916,4.96625,0.581159,276.8
"140",1.0545,2.3876,4.96825,0.581632,273.1
"141",1.0515,2.3679,4.95875,0.581598,271.9
"142",1.0469,2.3724,4.961,0.581564,277
"143",1.0482,2.3686,4.949,0.581497,278.4
"144",1.0466,2.3533,4.96,0.581497,278.4
"145",1.0482,2.3708,4.95325,0.5817,277.5
"146",1.0472,2.3545,4.94875,0.581869,277.5
"147",1.0502,2.3559,4.942,0.582004,277.75
"148",1.0537,2.3608,4.944,0.581734,277.3
"149",1.0539,2.3583,4.94275,0.581835,275.3
"150",1.0557,2.3564,4.9405,0.5817,273.3
"151",1.0595,2.3563,4.92275,0.581598,271.6
"152",1.0622,2.34,4.87575,0.581058,268.7
"153",1.059,2.3169,4.85975,0.581125,263.5
"154",1.0597,2.2793,4.816,0.58126,264.3
"155",1.0608,2.2593,4.815,0.58126,264.35
"156",1.0661,2.2544,4.8425,0.581193,264.8
"157",1.0744,2.285,4.89575,0.574878,266.3
"158",1.0783,2.319,4.91575,0.575142,265.85
"159",1.0752,2.3259,4.88875,0.574284,267.4
"160",1.0718,2.3121,4.9055,0.574284,266.8
"161",1.0747,2.3219,4.907,0.573756,267.3
"162",1.074,2.3183,4.943,0.573855,267.4
